agent_name,role,layer,scope,tools,inputs,outputs,guardrails,escalation_to,stack,actions,agent_code,agent_id,aka,artifacts,audit_logging,auto_remediation,autonomy_level,budget_cap,cache,capabilities,capability_pack,capability_pack_id,category,code_paths,commands,connectors,cost_center,court_gate,court_policy_id,created_at,data_sources,dependencies,depends_on_agents,display_name,efg_requirements,embedding_models,endpoints,epic,escalation_policy,export_control,failure_modes,governance_role,human_approval_required,last_updated,license_category,manifests,maturity_level,memory_scope,metrics,models,operational_readiness_score,operations_domain,owner_role,pii_handling,plane,policies,provides_capabilities,purpose,raci_a,raci_c,raci_i,raci_r,risk_class,scheduler_owner,scheduling,security_level,sla,source_file,source_row_index,source_rows_json,spawn_policy,state_store,status,subcategory,telemetry,telemetry_topic,tools_stack,triggers,type,version
LoggingObservabilityHelperAgent,Micro Agent,micro,,,event;metric_definition,log_entry;metrics,,Stack-Chief,Subject-001,,wx YGM,LoggingObservabilityHelperAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Provides standardized logging and telemetry scaffolding for all agents; escalates for new metric definitions or external dashboard integration.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
MasterChiefIncidentResponseAgent,Micro Agent,micro,,,incident_alert;security_report,recovery_plan;operator_spawn,,Stack-Chief,Subject-001,,wx YGM,MasterChiefIncidentResponseAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Coordinates rapid response and recovery for critical failures or security breaches; escalates for unresolved incidents or disaster recovery.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
MonitoringAlertingAgent,Micro Agent,micro,,,metrics;health_checks,alerts;status_reports,,Stack-Chief,Subject-001,,wx YGM,MonitoringAlertingAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Continuously monitors agents, apps, and infrastructure; sends alerts for anomalies; escalates persistent unhandled alerts.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
OperatorAgent,Micro Agent,micro,,,recovery_plan;assignment,incident_resolved;postmortem_report,,Stack-Chief,Subject-001,,wx YGM,OperatorAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Specialized incident response agents for mitigation, recovery, or quarantine; escalates only if plan requires human input.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
SafeStackAgent,Micro Agent,micro,,,code_files;dependencies,scan_report;remediation_recommendation,,Stack-Chief,Subject-001,,wx YGM,SafeStackAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Performs security scans and dependency checks; escalates for unpatchable vulnerabilities or zero-days.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
AlternativesComparisonAgent,Micro Agent,micro,,,option1;option2;criteria,comparison_report;recommendation,,Stack-Chief,Subject-001,,wx YGM,AlternativesComparisonAgent,,,,,,tbd,,,,PACK-da39a3ee,"Research, Knowledge & Data",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Benchmarks and compares alternative solutions/tools/services. Escalates for human direction only if choices are equally weighted, personal, or strategic.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
DataIngestionETLAgent,Micro Agent,micro,,,source_config;raw_data,processed_data;ingestion_report,,Stack-Chief,Subject-001,,wx YGM,DataIngestionETLAgent,,,,,,tbd,,,,PACK-da39a3ee,"Research, Knowledge & Data",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Ingests, transforms, and loads data from APIs, files, databases, or streams; escalates only for credential or source access needs.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
KnowledgeBaseAgent,Micro Agent,micro,,,query;knowledge_graph,search_results;references,,Stack-Chief,Subject-001,,wx YGM,KnowledgeBaseAgent,,,,,,tbd,,,,PACK-da39a3ee,"Research, Knowledge & Data",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Maintains a semantic knowledge base and answers queries using internal/external data; fully autonomous unless gated data is encountered.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
KnowledgeGraphAgent,Micro Agent,micro,,,processed_data;agent_logs;metadata,knowledge_graph,,Stack-Chief,Subject-001,,wx YGM,KnowledgeGraphAgent,,,,,,tbd,,,,PACK-da39a3ee,"Research, Knowledge & Data",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Builds/maintains a knowledge graph of all entities, dependencies, and operational context; escalates only for ambiguity in new entity relationships.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ResearchAgent,Micro Agent,micro,,,query;source_config,summary;citations,,Stack-Chief,Subject-001,,wx YGM,ResearchAgent,,,,,,tbd,,,,PACK-da39a3ee,"Research, Knowledge & Data",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Performs research and retrieves actionable information from configured sources, fully autonomous unless encountering captchas or locked/private content.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
SimulationRiskAnalysisAgent,Micro Agent,micro,,,workflow_plan;risk_model,simulation_report;risk_map,,Stack-Chief,Subject-001,,wx YGM,SimulationRiskAnalysisAgent,,,,,,tbd,,,,PACK-da39a3ee,"Research, Knowledge & Data",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Simulates agent runs and performs risk analysis before execution; escalates for user clarification on high-risk operations.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
AuditBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,AuditBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Responsible for compliance, audit trails, and reporting to external regulators.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
EthicsBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,EthicsBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Monitors for bias, hallucination, and ethical alignment in agent outputs and actions.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
FinanceBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,FinanceBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Handles all finance, accounting, and budget planning tasks.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
HRBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,HRBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Handles HR, onboarding, training, and workforce policies.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
LegalComplianceBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,LegalComplianceBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Oversees legal and compliance issues; ensures all actions and policies meet regulatory requirements.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
MarketingBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,MarketingBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Manages marketing, sales, and communication strategies.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
OperationsBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,OperationsBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Oversees business operations, process optimization, and resource allocation.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
SecurityBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,SecurityBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Handles all information, infrastructure, and cybersecurity matters.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
StrategyBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,StrategyBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Focuses on strategic direction, risk assessment, and high-level planning.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
TechnologyBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,TechnologyBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Oversees technical strategy, code review, and infrastructure.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
VisionBoardAgent,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,VisionBoardAgent,,,,,,tbd,,,,PACK-da39a3ee,Board (Executive Team),,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Handles multimodal reasoning, visual data, and document/image understanding.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
AuditComplianceAgent,Micro Agent,micro,,,ethics_alert;compliance_alert;action_logs,audit_report;compliance_dashboard,,Stack-Chief,Subject-001,,wx YGM,AuditComplianceAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Maintains audit trails, compliance dashboards, and interfaces with regulators; escalates for audit failures or legal subpoenas.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ComplianceEnforcementAgent,Micro Agent,micro,,,access_logs;compliance_policies,compliance_alert;enforcement_action,,Stack-Chief,Subject-001,,wx YGM,ComplianceEnforcementAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Monitors and enforces compliance with policies, standards, and regulations; escalates unresolved violations.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
EthicsAIAlignmentAgent,Micro Agent,micro,,,output;alignment_criteria,alignment_report;intervention_suggestion,,Stack-Chief,Subject-001,,wx YGM,EthicsAIAlignmentAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Evaluates outputs for AI alignment, ethics, and bias; escalates for unresolved or flagged alignment issues.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
GovernanceEthicsAgent,Micro Agent,micro,,,action_logs;policy_framework,ethics_alert;review_request,,Stack-Chief,Subject-001,,wx YGM,GovernanceEthicsAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Monitors for ethical risk, bias, and hallucination; escalates for unresolvable or controversial ethical concerns.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ManifestEditorAgent,Micro Agent,micro,,,proposal;system_metrics;user_request,manifest_update;approval_request;changelog,,Stack-Chief,Subject-001,,wx YGM,ManifestEditorAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Proposes, edits, manages the manifest; handles approval, review, rollback, and can escalate for human assistance if critical.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
RBACPolicyAgent,Micro Agent,micro,,,role_definitions;user_requests,access_grant;access_denial,,Stack-Chief,Subject-001,,wx YGM,RBACPolicyAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Manages user/agent roles, permissions, and access controls; escalates for new access types or policy conflicts.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ReviewAgent,Micro Agent,micro,,,proposal,approval_status,,Stack-Chief,Subject-001,,wx YGM,ReviewAgent,,,,,,tbd,,,,PACK-da39a3ee,"Governance, Risk & Compliance",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Provides human or AI-in-the-loop review and approval for manifest or workflow edits; requests human help only for legal, compliance, or personal info.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
CodeGenAgent,Micro Agent,micro,,,agent_spec;blueprint,code_files;Dockerfile;CI_snippet,,Stack-Chief,Subject-001,,wx YGM,CodeGenAgent,,,,,,tbd,,,,PACK-da39a3ee,"Build, Code & Docs",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Auto-generates agent/app code, scripts, Dockerfiles, and CI/CD pipelines; escalates only for ambiguous or user-customized implementation.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
CodeQualityAgent,Micro Agent,micro,,,code_files,lint_report;formatted_code,,Stack-Chief,Subject-001,,wx YGM,CodeQualityAgent,,,,,,tbd,,,,PACK-da39a3ee,"Build, Code & Docs",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Enforces linting, formatting, and static analysis on all generated agent code; escalates for non-standard code styles or critical formatting issues.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
DependencyResolverAgent,Micro Agent,micro,,,code_files;template,requirements.txt;package.json,,Stack-Chief,Subject-001,,wx YGM,DependencyResolverAgent,,,,,,tbd,,,,PACK-da39a3ee,"Build, Code & Docs",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Determines and pins dependencies, creates requirements.txt/package.json; escalates for unresolvable dependency conflicts.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
DocumentationGeneratorAgent,Micro Agent,micro,,,code_files;spec,README.md;docstrings,,Stack-Chief,Subject-001,,wx YGM,DocumentationGeneratorAgent,,,,,,tbd,,,,PACK-da39a3ee,"Build, Code & Docs",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Auto-generates and updates documentation (docstrings, README) for agents; escalates if documentation requirements are ambiguous or require user branding.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
DocumentationListenerAgent,Micro Agent,micro,,,endpoint;change_log,doc_update;doc_alert,,Stack-Chief,Subject-001,,wx YGM,DocumentationListenerAgent,,,,,,tbd,,,,PACK-da39a3ee,"Build, Code & Docs",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Generates and updates API/project documentation in real time; escalates if unable to resolve ambiguous or user-specific doc requirements.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ExecutionPlanningAgent,Micro Agent,micro,,,goal;tasks;constraints,execution_plan;delegated_tasks,,Stack-Chief,Subject-001,,wx YGM,ExecutionPlanningAgent,,,,,,tbd,,,,PACK-da39a3ee,"Build, Code & Docs",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Plans and sequences agent/app actions to achieve target outcomes; escalates only if goal is unclear or missing critical context.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
